frame,tiempo_s,x,y,radio
303,10.100827868852459,362,266,41
304,10.13416393442623,353,266,42
305,10.1675,347,266,42
306,10.200836065573771,343,267,41
307,10.234172131147542,342,267,41
308,10.26750819672131,342,268,41
309,10.300844262295081,346,269,41
310,10.334180327868852,351,270,42
311,10.367516393442623,358,270,42
312,10.400852459016393,366,270,42
313,10.434188524590164,372,270,41
314,10.467524590163935,378,270,41
315,10.500860655737705,382,269,41
316,10.534196721311476,382,270,41
317,10.567532786885247,377,272,41
318,10.600868852459016,372,275,41
319,10.634204918032786,365,277,41
320,10.667540983606557,358,279,41
321,10.700877049180328,351,281,41
322,10.734213114754098,347,282,41
323,10.767549180327869,343,282,41
324,10.80088524590164,343,283,41
325,10.83422131147541,345,283,41
326,10.867557377049181,349,284,41
327,10.900893442622952,354,284,41
328,10.93422950819672,360,285,41
329,10.967565573770491,366,285,41
330,11.000901639344262,372,285,41
331,11.034237704918032,376,284,40
332,11.067573770491803,380,284,40
333,11.100909836065574,379,283,40
334,11.134245901639344,377,283,40
335,11.167581967213115,374,283,40
336,11.200918032786886,369,283,40
337,11.234254098360656,364,283,41
338,11.267590163934425,358,284,41
339,11.300926229508196,352,284,41
340,11.334262295081967,348,284,41
341,11.367598360655737,346,284,40
342,11.400934426229508,345,284,41
343,11.434270491803279,346,283,41
344,11.46760655737705,350,283,41
345,11.50094262295082,355,284,41
346,11.53427868852459,360,283,41
347,11.567614754098361,366,284,41
348,11.60095081967213,372,283,41
349,11.634286885245901,375,283,40
350,11.667622950819672,378,281,40
351,11.700959016393442,378,281,40
352,11.734295081967213,376,280,40
353,11.767631147540984,376,280,40
354,11.800967213114754,368,281,41
355,11.834303278688525,362,281,41
356,11.867639344262296,356,281,41
357,11.900975409836066,351,280,41
358,11.934311475409835,347,280,41
359,11.967647540983606,345,280,41
360,12.000983606557377,346,280,41
361,12.034319672131147,348,280,41
362,12.067655737704918,351,280,41
363,12.100991803278689,356,280,41
364,12.13432786885246,362,280,41
365,12.16766393442623,366,279,41
366,12.201,371,278,41
367,12.234336065573771,371,278,41
368,12.26767213114754,377,277,40
369,12.30100819672131,376,276,40
370,12.334344262295081,374,276,40
371,12.367680327868852,370,276,40
372,12.401016393442623,365,276,40
373,12.434352459016393,361,276,40
374,12.467688524590164,356,277,41
375,12.501024590163935,352,276,41
376,12.534360655737705,348,275,41
377,12.567696721311476,346,275,41
378,12.601032786885245,347,275,41
379,12.634368852459016,350,275,41
380,12.667704918032786,355,276,41
381,12.701040983606557,359,276,41
382,12.734377049180328,364,275,41
383,12.767713114754098,369,275,41
384,12.801049180327869,373,274,41
385,12.83438524590164,376,274,41
386,12.86772131147541,376,273,40
